timestamp,op,addr,data
8DC24C,W,09,0A12
8DC254,W,05,0000
8DC25D,W,06,0000
8DC266,W,1B,3342
8DC26E,W,1C,0000
8DC277,W,1A,0031
8ED1F6,W,09,0B12
8ED1FF,W,14,0000
8EF849,W,09,0912
8EF852,W,04,0A20
8EF90F,R,06,0000
8EF91C,W,05,4000
904AAD,W,09,0812
904B77,W,09,0812
904B8D,R,23,0200
904C4B,W,0F,8060
904DE2,W,09,0A12
904DEB,W,05,0000
904DF3,W,06,0000
904DFC,W,1B,3342
904E05,W,1C,0000
904E0D,W,1A,0031
915CC5,W,09,0B12
915CCE,W,14,0000
918319,W,09,0912
918322,W,04,0A20
9183DE,R,06,0000
9183EB,W,05,4000
92D57D,W,09,0812
92D647,W,09,0812
92D65C,R,23,0200
92D7EA,W,09,0A12
92D7F2,W,05,0000
92D7FB,W,06,0000
92D804,W,1B,3342
92D80D,W,1C,0000
92D815,W,1A,0031
93E794,W,09,0B12
93E79C,W,14,0000
940DE8,W,09,0912
940DF0,W,04,0A20
940EAD,R,06,0000
940EB9,W,05,4000
95604C,W,09,0812
956115,W,09,0812
95612A,R,23,0200
9562B9,W,09,0A12
9562C2,W,05,0000
9562CA,W,06,0000
9562D3,W,1B,3342
9562DC,W,1C,0000
9562E4,W,1A,0031
967264,W,09,0B12
96726D,W,14,0000
9698B7,W,09,0912
9698C0,W,04,0A20
96997C,R,06,0000
969989,W,05,4000
97EB1C,W,09,0812
97EBE4,W,09,0812
97EBFB,R,23,0200
97ED88,W,09,0A12
97ED91,W,05,0000
97ED99,W,06,0000
97EDA2,W,1B,3342
97EDAB,W,1C,0000
97EDB3,W,1A,0031
98FD33,W,09,0B12
98FD3B,W,14,0000
992385,W,09,0912
99238D,W,04,0A20
99244C,R,06,0000
992459,W,05,4000
9A75EB,W,09,0812
9A76B5,W,09,0812
9A76CB,R,23,0200
9A7857,W,09,0A12
9A7860,W,05,0000
9A7868,W,06,0000
9A7871,W,1B,3342
9A787A,W,1C,0000
9A7883,W,1A,0031
9B8800,W,09,0B12
9B8809,W,14,0000
9BAE56,W,09,0912
9BAE5F,W,04,0A20
9BAF1C,R,06,0000
9BAF29,W,05,4000
9D00BA,W,09,0812
9D0184,W,09,0812
9D019A,R,23,0200
9D095F,W,0F,8070
9D0BC2,W,09,0A12
9D0BCB,W,05,0000
9D0BD3,W,06,0000
9D0BDC,W,1B,3342
9D0BE5,W,1C,0000
9D0BED,W,1A,0031
9E12D2,W,09,0B12
9E12DB,W,14,0000
9E3926,W,09,0912
9E392F,W,04,0A20
9E39EB,R,06,0000
9E39F7,W,05,4000
9F8B8B,W,09,0812
9F8C54,W,09,0812
9F8C69,R,23,0200
9F8DF8,W,09,0A12
9F8E00,W,05,0000
9F8E09,W,06,0000
9F8E12,W,1B,3342
9F8E1A,W,1C,0000
9F8E23,W,1A,0031
A09DA2,W,09,0B12
A09DAB,W,14,0000
A0C3F7,W,09,0912
A0C400,W,04,0A20
A0C4BB,R,06,0000
A0C4C8,W,05,4000
A2165A,W,09,0812
A21724,W,09,0812
A2173A,R,23,0200
A218C7,W,09,0A12
A218CF,W,05,0000
A218D8,W,06,0000
A218E1,W,1B,3342
A218E9,W,1C,0000
A218F2,W,1A,0031
A32872,W,09,0B12
A3287B,W,14,0000
A34EC5,W,09,0912
A34ECD,W,04,0A20
A34F8C,R,06,0000
A34F99,W,05,4000
A4A12A,W,09,0812
A4A1F4,W,09,0812
A4A20A,R,23,0200
A4A397,W,09,0A12
A4A3A0,W,05,0000
A4A3A9,W,06,0000
A4A3B2,W,1B,3342
A4A3BA,W,1C,0000
A4A3C3,W,1A,0031
A5B341,W,09,0B12
A5B34A,W,14,0000
A5D996,W,09,0912
A5D99E,W,04,0A20
A5DA5B,R,06,0000
A5DA68,W,05,4000
A72BFB,W,09,0812
A72CC4,W,09,0812
A72CD9,R,23,0200
A72E66,W,09,0A12
A72E6F,W,05,0000
A72E77,W,06,0000
A72E80,W,1B,3342
A72E89,W,1C,0000
A72E92,W,1A,0031
A83E11,W,09,0B12
A83E1A,W,14,0000
A86466,W,09,0912
A8646E,W,04,0A20
A8652B,R,06,0000
A86538,W,05,4000
A9B6CA,W,09,0812
A9B793,W,09,0812
A9B7A9,R,23,0200
A9B867,W,0F,8060
A9B9FF,W,09,0A12
A9BA08,W,05,0000
A9BA10,W,06,0000
A9BA19,W,1B,3342
A9BA22,W,1C,0000
A9BA2B,W,1A,0031
AAC8E1,W,09,0B12
AAC8EA,W,14,0000
AAEF34,W,09,0912
AAEF3D,W,04,0A20
AAEFFA,R,06,0000
AAF007,W,05,4000
AC419A,W,09,0812
AC4262,W,09,0812
AC4278,R,23,0200
AC4406,W,09,0A12
AC440F,W,05,0000
AC4418,W,06,0000
AC4420,W,1B,3342
AC4429,W,1C,0000
AC4432,W,1A,0031
AD53B0,W,09,0B12
AD53B9,W,14,0000
AD7A04,W,09,0912
AD7A0C,W,04,0A20
AD7ACA,R,06,0000
AD7AD7,W,05,4000
AECC6A,W,09,0812
AECD33,W,09,0812
AECD49,R,23,0200
AECED7,W,09,0A12
AECEE0,W,05,0000
AECEE8,W,06,0000
AECEF1,W,1B,3342
AECEFA,W,1C,0000
AECF03,W,1A,0031
AFDE80,W,09,0B12
AFDE89,W,14,0000
B004D5,W,09,0912
B004DE,W,04,0A20
B0059A,R,06,0000
B005A7,W,05,4000
B1573A,W,09,0812
B15804,W,09,0812
B15819,R,23,0200
B159A7,W,09,0A12
B159B0,W,05,0000
B159B9,W,06,0000
B159C1,W,1B,3342
B159CA,W,1C,0000
B159D3,W,1A,0031
B26950,W,09,0B12
B26959,W,14,0000
B28FA6,W,09,0912
B28FAE,W,04,0A20
B2906B,R,06,0000
B29078,W,05,4000
B3E20A,W,09,0812
B3E2D4,W,09,0812
B3E2EA,R,23,0200
B3E477,W,09,0A12
B3E480,W,05,0000
B3E488,W,06,0000
B3E491,W,1B,3342
B3E49A,W,1C,0000
B3E4A2,W,1A,0031
B4F421,W,09,0B12
B4F42A,W,14,0000
B51A75,W,09,0912
B51A7E,W,04,0A20
B51B3A,R,06,0000
B51B47,W,05,4000
B66CDA,W,09,0812
B66DA4,W,09,0812
B66DBA,R,23,0200
B6757E,W,0F,8070
B677E2,W,09,0A12
B677EB,W,05,0000
B677F3,W,06,0000
B677FC,W,1B,3342
B67805,W,1C,0000
B6780E,W,1A,0031
B77EF2,W,09,0B12
B77EFA,W,14,0000
B7A545,W,09,0912
B7A54E,W,04,0A20
B7A60B,R,06,0000
B7A618,W,05,4000
B8F7A9,W,09,0812
B8F873,W,09,0812
B8F889,R,23,0200
B8FA17,W,09,0A12
B8FA1F,W,05,0000
B8FA31,W,1B,3342
B8FA3A,W,1C,0000
B8FA42,W,1A,0031
BA09C1,W,09,0B12
BA09CA,W,14,0000
BA3015,W,09,0912
BA301E,W,04,0A20
BA30DB,R,06,0000
BA30E8,W,05,4000
BB827A,W,09,0812
BB8344,W,09,0812
BB835A,R,23,0200
BB84E7,W,09,0A12
BB84F0,W,05,0000
BB84F9,W,06,0000
BB8502,W,1B,3342
BB850A,W,1C,0000
BB8513,W,1A,0031
BC9491,W,09,0B12
BC949A,W,14,0000
BCBAE5,W,09,0912
BCBAED,W,04,0A20
BCBBAB,R,06,0000
BCBBB8,W,05,4000
BE0D4A,W,09,0812
BE0E13,W,09,0812
BE0E29,R,23,0200
BE0FB7,W,09,0A12
BE0FC0,W,05,0000
BE0FC9,W,06,0000
BE0FD1,W,1B,3342
BE0FDA,W,1C,0000
BE0FE3,W,1A,0031
BF1F63,W,09,0B12
BF1F6B,W,14,0000
BF45B4,W,09,0912
BF45BD,W,04,0A20
BF467A,R,06,0000
BF4687,W,05,4000
C0981A,W,09,0812
C098E3,W,09,0812
C098F9,R,23,0200
C09A86,W,09,0A12
C09A8F,W,05,0000
C09A97,W,06,0000
C09AA0,W,1B,3342
C09AA9,W,1C,0000
C09AB2,W,1A,0031
C1AA30,W,09,0B12
C1AA39,W,14,0000
C1D083,W,09,0912
C1D08C,W,04,0A20
C1D14A,R,06,0000
C1D157,W,05,4000
C322E8,W,09,0812
C323B3,W,09,0812
C323C9,R,23,0200
C32485,W,0F,8060
C3261E,W,09,0A12
C32627,W,05,0000
C32630,W,06,0000
C32639,W,1B,3342
C32641,W,1C,0000
C3264A,W,1A,0031
C43500,W,09,0B12
C43509,W,14,0000
C45B54,W,09,0912
C45B5D,W,04,0A20
C45C1B,R,06,0000
C45C27,W,05,4000
C5ADB9,W,09,0812
C5AE82,W,09,0812
C5AE98,R,23,0200
C5B027,W,09,0A12
C5B02F,W,05,0000
C5B038,W,06,0000
C5B041,W,1B,3342
C5B049,W,1C,0000
C5B052,W,1A,0031
C6BFD1,W,09,0B12
C6BFD9,W,14,0000
C6E622,W,09,0912
C6E62B,W,04,0A20
C6E6E9,R,06,0000
C6E6F6,W,05,4000
C83888,W,09,0812
C83952,W,09,0812
C83968,R,23,0200
C83AF6,W,09,0A12
C83AFF,W,05,0000
C83B07,W,06,0000
C83B10,W,1B,3342
C83B19,W,1C,0000
C83B21,W,1A,0031
C94AA0,W,09,0B12
C94AA9,W,14,0000
C970F6,W,09,0912
C970FE,W,04,0A20
C971B9,R,06,0000
C971C6,W,05,4000
CAC359,W,09,0812
CAC423,W,09,0812
CAC438,R,23,0200
CAC5C6,W,09,0A12
CAC5CF,W,05,0000
CAC5D7,W,06,0000
CAC5E0,W,1B,3342
CAC5E9,W,1C,0000
CAC5F2,W,1A,0031
CBD56F,W,09,0B12
CBD578,W,14,0000
CBFBC5,W,09,0912
CBFBCE,W,04,0A20
CBFC8A,R,06,0000
CBFC97,W,05,4000
CD4E28,W,09,0812
CD4EF2,W,09,0812
CD4F08,R,23,0200
CD5097,W,09,0A12
CD50A0,W,05,0000
CD50A9,W,06,0000
CD50B2,W,1B,3342
CD50BA,W,1C,0000
CD50C3,W,1A,0031
CE6041,W,09,0B12
CE604A,W,14,0000
CE8694,W,09,0912
CE869C,W,04,0A20
CE875A,R,06,0000
CE8766,W,05,4000
CFD8F9,W,09,0812
CFD9C2,W,09,0812
CFD9D7,R,23,0200
CFE19D,W,0F,8070
CFE339,W,09,0A12
CFE341,W,05,0000
CFE34A,W,06,0000
CFE353,W,1B,3342
CFE35B,W,1C,0000
CFE364,W,1A,0031
D0EB10,W,09,0B12
D0EB19,W,14,0000
D11164,W,09,0912
D1116D,W,04,0A20
D11228,R,06,0000
D11235,W,05,4000
D263C8,W,09,0812
D26493,W,09,0812
D264A9,R,23,0200
D26636,W,09,0A12
D2663E,W,05,0000
D26647,W,06,0000
D26650,W,1B,3342
D26659,W,1C,0000
D26661,W,1A,0031
D375E0,W,09,0B12
D375E8,W,14,0000
D39C32,W,09,0912
D39C3B,W,04,0A20
D39CF9,R,06,0000
D39D05,W,05,4000
D4EE98,W,09,0812
D4EF62,W,09,0812
D4EF77,R,23,0200
D4F106,W,09,0A12
D4F10E,W,05,0000
D4F117,W,06,0000
D4F120,W,1B,3342
D4F129,W,1C,0000
D4F131,W,1A,0031
D600AF,W,09,0B12
D600B8,W,14,0000
D62703,W,09,0912
D6270C,W,04,0A20
D627C9,R,06,0000
D627D6,W,05,4000
D77967,W,09,0812
D77A31,W,09,0812
D77A48,R,23,0200
D77BD5,W,09,0A12
D77BDD,W,05,0000
D77BE6,W,06,0000
D77BEF,W,1B,3342
D77BF7,W,1C,0000
D77C00,W,1A,0031
D88B7F,W,09,0B12
D88B87,W,14,0000
D8B1D2,W,09,0912
D8B1DB,W,04,0A20
D8B298,R,06,0000
D8B2A5,W,05,4000
DA0438,W,09,0812
DA0501,W,09,0812
DA0517,R,23,0200
DA06A3,W,09,0A12
DA06AC,W,05,0000
DA06B5,W,06,0000
DA06BD,W,1B,3342
DA06C6,W,1C,0000
DA06CF,W,1A,0031
DB164E,W,09,0B12
DB1657,W,14,0000
DB3CA1,W,09,0912
DB3CAA,W,04,0A20
DB3D68,R,06,0000
DB3D75,W,05,4000
DC8F07,W,09,0812
DC8FD2,W,09,0812
DC8FE7,R,23,0200
DC90A3,W,0F,8060
DC923C,W,09,0A12
DC9245,W,05,0000
DC924D,W,06,0000
DC9256,W,1B,3342
DC925F,W,1C,0000
DC9268,W,1A,0031
DDA11D,W,09,0B12
DDA126,W,14,0000
DDC772,W,09,0912
DDC77A,W,04,0A20
DDC838,R,06,0000
DDC845,W,05,4000
DF19D7,W,09,0812
DF1AA1,W,09,0812
DF1AB8,R,23,0200
DF1C43,W,09,0A12
DF1C4C,W,05,0000
DF1C55,W,06,0000
DF1C5E,W,1B,3342
DF1C66,W,1C,0000
DF1C6F,W,1A,0031
E02BEF,W,09,0B12
E02BF7,W,14,0000
E05241,W,09,0912
E0524A,W,04,0A20
E05307,R,06,0000
E05314,W,05,4000
E1A4A6,W,09,0812
E1A570,W,09,0812
E1A585,R,23,0200
E1A714,W,09,0A12
E1A71D,W,05,0000
E1A726,W,06,0000
E1A72F,W,1B,3342
E1A737,W,1C,0000
E1A740,W,1A,0031
E2B6BF,W,09,0B12
E2B6C8,W,14,0000
E2DD13,W,09,0912
